잡지	magazine
만화	comics
선배	senior
청바지	jeans
운동복	sports wear
정장	formal wear
사회를 보다	to be the emcee
동창	alumni
도자기	pottery
김치를 담그다	to make kimchi
가입하다	to join
활동	activity
취미	hobby
들어오다	to join
전시하다	to exhibit
전시회 열다	to hold an exhibition
모이다	to gather
물론이다	of course
드시다	to eat
빈 자리	empty seat
사용하다	to use
상관	care
병실	hospital room
애완동물	pet
키우다	to raise
미술관	art gallery
만지다	to touch
큰 소리	loud noise
들어가다	to enter
신다	to put on
동호회	club
밥을 하다	to cook a meal
취사 금지	no cooking allowed
꼭	definitely
가져오다	to bring
가져가다	to take
주의하다	to be careful
도시락	lunch box
버리다	to throw away
쓰레기	garbage
