잠시	for a while
계획을 세우다	to make plan
여행 가방을 싸다	to pack luggage
지도	map
짐을 풀다	to unpack
떠나다	to leave
조깅	jogging
상담	consultation
매진	sold out
게이트	gate
창가	window side
제시간	scheduled time
물론이다	to be sure
시애틀	Seatle
관광	sightseeing
여름휴가	summer vacation
유람선	excursion boat
과람하기	view
전통 공연	traditional performance
인터넷	internet
추천하다	to recommend
놀이 공원	amusement park
롤러코스터	roller coaster
불꽃놀이	fireworks
끛구경	flower viewing
신다	wear shoes
회	raw fish
해수욕	sea bathing
통로	hallway
저렴하다	to be cheap
시설	facility
시내	downtown
유적지	historic site
기념품	souvenir
면세점	duty free shop
건강	health
끊다	to give up
새해	new year
세계 일주	trip around the world
모으다	to gather (money)
대기업	enterprise
일정	schedule
관광 사품	sight seeing program
고궁	ancient palace
투어	tour
케이블카	cable car
서울터워	seoul tower
야경	night view
가이드	guide
해수욕을 하다	to bath in sea
일광욕을 하다	to sunbath
단풍 구경을 하다	to watch automn leaves
벚꽃 구경을 하다	to watch spring blooming
기념푸을 사다	to buy souvenirs
유명한 음식을 먹다	to eat famous meal
전통 공연을 보다	to watch performance
그님을 관람하다	to watch museum
유적지를 구경하다	to watch ruins
단풍	autumn foliage
알아보다	to find out
이기다	to win
기행문	travel essay
호숫가	lakeside
봊꽃	cherry blossom
해돋이	sunrise
토함산	Mt Toham
구름이 끼다	to be cloudy
문화재	cultural assets
기회	opportunity
