으로	means
버스	bus
지하철	subway
공항	airport
회사	company
우체국	post office
자전거	bicycle
거리	street
걸어서	on foot
묻다	to ask
걷다	to walk
가요	popular song
쉽게	easily
찾다	to find
몰라요	don't know
물어요	ask
다리	leg
아파요	hurts
에서	from
까지	to
기차	train
자동차	car
택시	taxi
비행기	plane
배	boat
트럭	truck
자전거	bike
오토바이	motorcycle
건너다	to cross
길	street
갈아타다	to transfer
내리다	get off
정류장	bus stop
육교	breezeway
지하도	underpass
횡단보다	crosswalk
막히다	to be congested
얼마나	how long
걸리다	to take
쯤	about
얼마나 걸려요?	how long does it take?
올해	this year
오래	long time
열심히	hard
저축하다	to save
살을 빼다	to lose weight
운전면허증	driver's license
따다	to get
면허증	license
입학하다	to enter school
역사	history
가십시오	please go
사거리	intersection
주차	parking
손	hand
대다	to touch
쓰레기	garbage
버리다	to throw away
안전	safety
매다	to tie
조용히	quietly
담배	cigarette
피우다	to smoke
나오다	to come out
