베트남	Vietnam
네덜란드	The Netherlands
이집트	Egypt
되다	to become
개월	month
소식	news
지나다	to go past
넘다	to go beyond
빌리다	to borrow
전시하다	to exhibit
살이 빠지다	to lose weight
이웃	neighbour
동료	colleague
이사 오다	to move in
유학 오다	to come to study abroad
무역 회사	trading company
의미	meaning
뜻	meaning (bis)
관심	interest
명절	national holiday
설날	New Year's Day
추석	Korean Thanksgiving Day
탈춤	mask dance
부채춤	fan dance
전통 놀이	traditional games
윷놀이	game of yut
연날리기	kite flying
유명	famous
글	text
소문	rumor
특별하다	to be special
행동	action
공항버스	airport bus
가입하다	to subscribe
가입 신청서	subscription form
예매하다	to reseve a ticket
보고서	report
자료	data
재료	material (ingredients)
언어교육원	language center
원장	director
인사말	greetings
환영하다	to welcome
주의 사항	matters that require attention
알려 주다	to inform
역사	history
오래되다	to have been a long time
활동	activity
회원을 모집하다	to recruit members
가입 신청서를 쓰다	to fill subscription form
동아리에 가입하다	to join a club
동아리에서 나오다	to leave a club
연극 공연을 하다	to do a theatrical performance
운동 경기를 하다	to do athletic competition
전시회를 열다	to inaugurate exhibition
전시회를 하다	to make exhibition
토론회를 하다	to debate
회장	president
모이다	to gather
매주	weekly
주로	mainly
유명하다	to be popular
가곡	song
정보	information
러시아	Russia
기자	journalist
남편	husband
아시아	Asia
인기	popularity
멀리	far
가까이	near
지각 대장	latecomer
(호칭을) 부르다	to call
