복잡하다	to be complicated
불편하다	to be uncomfortable
빠르다	to be fast
요금	fare
종류	kind
다양하다	to be diverse
좁다	to be narrow
디자인	design
색깔	color
마음에 들다	to like
훨씬	by far (much)
성적	grades
잘 나오다	to come out well
가격	price
성능	performance
환율	exchange rate
올랐다	rose up
원작	original work
짐	baggage
들다	to carry
상담하다	to counsel
이해하다	to understand
내용	content
사귀다	to date
방법	way, manner
일기	diary
복습하다	to review
발음	pronunciation
받아쓰다	to dictate
익숙하다	to be used to
익숙해졌다	got used to
별로	particularly
심심하다	to be bored
문화 센터	cultural center
등록하다	register
정확히	precisely
도우미	assistant
조언	advice
방문하다	to visit
차다	to kick
코를 풀다	to blow nose
상갓집	family in mourning
(전화를) 끊다	to hang up
고개	head
돌리다	to turn
긴장이 되다	to be nervous
고장이 나다	to break down
창피하다	to be shameful
헤어지다	to break up
도둑이 들다	to be robbed
틀리다	to be wrong
짲증이 나다	to be irritated
가장	most
교통 카드	transportation card
장점	advantage
단점	disadvantage
갈아타다	to transfer
할인	discount
현금	cash
교통비	transportation fee
계신하다	to pay
남다	to be leftover
돌려받다	to get back
공원	park
병원	hospital
약국	drugstore
편의점	convenient store
꽃집	flower shop
주유소	gaz station
안경점	opticians
문구점	stationery (paper shop)
세탁소	dry cleaning
PC방	PC room
사진관	photo shop
빵집	bakery
쓰레기	rubbish
버리다	to throw out
음식물	food and drink
아파트	apartment
쓰레기통	trash can
쓰레기봉투	trash bag
따로	separately
오제든지	whenever
추신	P.S.
원하다	to want
연락하다	to contact smb
