금연석	nonsmoking section
흡연석	smoking section
스테이크	steak
맥주	beer
포도주	wine
후식	dessert
홍차	black tea
내다	to pay
손님	customer
출장	business trip
두통	headache
공사	construction
장마	rainy season
이유	reason
부식집	small cheap restaurant
메뉴	menu
양	amount
이탈리아 식당	Italian restaurant
패밀리 레스토랑	family restaurant
서비스	service
가게	store
배달하다	to deliver
닭	chicken
콜라	cola
무료	free
장식	set menu
전채 요리	appetizer
주요리	main dish
호박죽	pumpkin porridge
택일	to choose one
선택하다	to choose
죽	porridge
달콤하다	to be sweet
국물	soup
흰떡	rice cake
한잔하다	to have a drink
냄비	pan
호박	pumpkin
붓다	to pour / to swell
젓다	to stir
짓다	to make
낫다	to get well
주의하다	to pay attention
맞추다	to adjust with
이렇게	in this way
얼굴	face
국자	ladle
강아지	puppy
털	fur
벗다	take off (regular verb)
씻다	wash hand (regular verb)
웃다	laugh (regular verb)
곧	soon
라면	ramen
개란찜	steamed egg
면	noodle
불	fire
세게	strongly
약하게	weakly
볶음밥	fried rice
썰다	to cut
볶다	to fry (in a pan)
섞다	to mix
찌다	to steam
굽다	to grill
삶다	to boil (and throw water)
끓다	to boil (and drink)
튀기다	to deep fry
부치다	to cook flat thing in oil (crepe style)
반죽하다	to knead
기름을 두르다	to grease
껍질을 벗기다	to peel
된장을 풀다	to dissolve doenjang
밀가루	flour
반죽	dough
골고루	evenly
프라이팬	frying pan
김치전	kimchi pancake
오징어	squid
옥수수	corn
번거롭다	to be complicated
된장	soybean paste
큰술	table spoon
두부	tofu
다지다	to chop
마늘	garlic
고추	red pepper
가로	horizontal
세로	vertical
두께	width
직전	right before
향	fragrance
없어지다	to go away
생기다	to come into being
멸치	anchovy
조개	shellfish
말다	to roll
