공부하다	to study
재미있다	to be fun
자다	to sleep
전화하다	to call
책	book
많다	to be a lot
영화	movie
재미없다	to be boring
음악	music
듣다	to listen
김밥	kimbab
질문하다	to ask a question
대답하다	to reply
책을 읽다	to read a book
수업을 시작하다	to start class
수업이 끝나다	to finish class
한국어를 배우다	to learn korean
한국어를 가르치다	to teach korean
숙제하다	to do homework
쉬다	to rest
이야기하다	to speak
친구를 만나다	to meet friends
생활	life
어떻다	to be how
요즘	these days
공부	study
그렇지만	but
조금	a little bit
어렵다	to be hard
쉽다	to be easy
오늘	today
며칠	what date
언제	when
생일	birthday
설날	new year day
시험	exam
결혼식	wedding ceremony
문화수업	culture class
크리스마스	Christmas
졸업식	graduation
어디	where
학교	school
기숙사	dormitory
사진	photo
동아리	club
모임	meeting
시간	time
수업 후	after class
오후	afternoon
2시	2 o'clock
장소	place
3층	3rd floor
휴게실	lounge floor
영화관	cinema
