명	people
개	objects
마리	animals
병	bottles
잔	glass
켤레	socks
권	books
장	paper
대	electronics
벌	clothes
송이	bunch
조각	piece
얼마	how much
냉장고	refrigerator
청소기	vacuum
선풍기	fan
다리미	iron
세탁기	washing machine
가격	price
아주머니	shopkeeper
배	pear
깎아 주다	to discount
짜리	value
한테	to
에게	to
선물하다	to give a present
목걸이	necklace
주다	to give
과일 가게	fruit shop
주인	shopkeeper
팔다	to sell
가르치다	to teach
던지다	to throw
편지	letter
쓰다	to write
높다	to be high
장갑	gloves
보다	than
크다	to be big
많다	to be many
좋아하다	to like
잘하다	to do well
않다	to not do
혼자	alone
노래	song
자주	often
꽂바구니	flower pot
꽃다발	bouquet
생일카드	birthday card
화장품	makeup
액세서리	accessory
향소	perfume
인형	doll
목도리	muffler
스카프	scarf
넥타이	necktie
만년필	pen
허리띠	belt
액자	mirror
장난감	toy
아직	yet
어떤	what
인기가	popular
다른	different
바뀌다	to change
다른	different
똑같아요	same
현금	cash
껴다	to turn on
거짓말	lie
