거의 다	almost
아무	any
아무 데나	anywhere
아무 떼나	any time
양	amount
적어요	little
회의	meeting
짜다	salty
똑같아요	same
바뀌다	change
매위요	spicy
어려워요	difficult
고마워요	thank you
반가워요	glad
돕다	to help
도와요	help
그다음에	next
그래도	but
그런데	but
그럼	then
타다	to burn
소금	salt
솔탕	sugar
소설	novel
넣다	to add
가까워요	near
쉬다	to rest
싱겁다	to be bland
감기에 걸리다	to catch a cold
걸어서	on foot
추워요	cold
더	more
날씨	weather
시다	sour
달다	sweet
쓰다	bitter
유명하다	to be famous
연주하다	to play
어느 날	one day
그 다음부터	since then
생각나다	to come to mind
크게 웃다	to laugh out loud
처음	the first time
자주	often
방학	vacation
계속	continually
그렇지만	however
직접	directly
다	all
종류	kind
후문	back gate
정문	front gate
모두	all
주인아주머니	landlady
친절하다	to be kind
감기에 걸리다	to catch a cold
소게하다	to introduce
또	again
연락	contact
새	new
자주	often
그날	that day
글	composition
답하다	to answer
가지	kind
여러 가지	several kinds
그중	among them
대회	contest
기분	feeling
지역	region
계속	continuously
취직하다	to get a job
대한	about
